"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"+1 All-Purpose Tool","TCE","uncommon","wondrous item","requires attunement by an artificer","","",""
"+1 Ammunition","DMG","uncommon","ammunition, generic variant","","","",""
"+1 Amulet of the Devout","TCE","uncommon","wondrous item","requires attunement by a cleric or paladin","","1 lb.",""
"+1 Arcane Grimoire","TCE","uncommon","wondrous item","requires attunement by a wizard","","3 lb.",""
"+1 Armor","DMG","rare","generic variant","","","",""
"+1 Bloodwell Vial","TCE","uncommon","wondrous item","requires attunement by a sorcerer","","0.16 oz.",""
"+1 Dragonhide Belt","FTD","uncommon","wondrous item","requires attunement by a monk","","",""
"+1 Moon Sickle","TCE","uncommon","weapon (sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4, slashing, - light","2 lb.",""
"+1 Rhythm-Maker's Drum","TCE","uncommon","wondrous item, Instrument","requires attunement by a bard","","3 lb.",""
"+1 Rod of the Pact Keeper","DMG","uncommon","rod","requires attunement by a warlock","","2 lb.",""
"+1 Shield (*)","DMG","uncommon","generic variant","","","",""
"+1 Wand of the War Mage","DMG","uncommon","wand","requires attunement by a spellcaster","","1 lb.",""
"+1 Weapon","DMG","uncommon","generic variant","","","",""
"+1 Weapon (no damage)","DMG","uncommon","generic variant","","","",""
"+2 All-Purpose Tool","TCE","rare","wondrous item","requires attunement by an artificer","","",""
"+2 Ammunition","DMG","rare","ammunition, generic variant","","","",""
"+2 Amulet of the Devout","TCE","rare","wondrous item","requires attunement by a cleric or paladin","","1 lb.",""
"+2 Arcane Grimoire","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"+2 Armor","DMG","very rare","generic variant","","","",""
"+2 Bloodwell Vial","TCE","rare","wondrous item","requires attunement by a sorcerer","","0.16 oz.",""
"+2 Dragonhide Belt","FTD","rare","wondrous item","requires attunement by a monk","","",""
"+2 Moon Sickle","TCE","rare","weapon (sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4, slashing, - light","2 lb.",""
"+2 Rhythm-Maker's Drum","TCE","rare","wondrous item, Instrument","requires attunement by a bard","","3 lb.",""
"+2 Rod of the Pact Keeper","DMG","rare","rod","requires attunement by a warlock","","2 lb.",""
"+2 Shield (*)","DMG","rare","generic variant","","","",""
"+2 Wand of the War Mage","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"+2 Weapon","DMG","rare","generic variant","","","",""
"+2 Weapon (no damage)","DMG","rare","generic variant","","","",""
"+3 All-Purpose Tool","TCE","very rare","wondrous item","requires attunement by an artificer","","",""
"+3 Ammunition","DMG","very rare","ammunition, generic variant","","","",""
"+3 Amulet of the Devout","TCE","very rare","wondrous item","requires attunement by a cleric or paladin","","1 lb.",""
"+3 Arcane Grimoire","TCE","very rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"+3 Armor","DMG","legendary","generic variant","","","",""
"+3 Bloodwell Vial","TCE","very rare","wondrous item","requires attunement by a sorcerer","","0.16 oz.",""
"+3 Dragonhide Belt","FTD","very rare","wondrous item","requires attunement by a monk","","",""
"+3 Moon Sickle","TCE","very rare","weapon (sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4, slashing, - light","2 lb.",""
"+3 Rhythm-Maker's Drum","TCE","very rare","wondrous item, Instrument","requires attunement by a bard","","3 lb.",""
"+3 Rod of the Pact Keeper","DMG","very rare","rod","requires attunement by a warlock","","2 lb.",""
"+3 Shield (*)","DMG","very rare","generic variant","","","",""
"+3 Wand of the War Mage","DMG","very rare","wand","requires attunement by a spellcaster","","1 lb.",""
"+3 Weapon","DMG","very rare","generic variant","","","",""
"+3 Weapon (no damage)","DMG","very rare","generic variant","","","",""
"Abracadabrus","IDRotF","very rare","wondrous item","","","25 lb.",""
"Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Acheron Blade","EGW","rare","generic variant","requires attunement","","",""
"Acid Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Adamantine Armor","DMG","uncommon","generic variant","","","",""
"Akaasit Blade","ToB2","rare","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Akmon, Hammer of Purphoros","MOT","artifact","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Alchemical Compendium","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Alchemy Jug","DMG","uncommon","wondrous item","","","12 lb.",""
"Alchemy Jug (Blue)","CM","uncommon","wondrous item","","","12 lb.",""
"Alchemy Jug (Orange)","CM","uncommon","wondrous item","","","12 lb.",""
"Amethyst Lodestone","FTD","very rare","wondrous item","requires attunement","","",""
"Amulet of Health","DMG","rare","wondrous item","requires attunement","","1 lb.",""
"Amulet of Proof against Detection and Location","DMG","uncommon","wondrous item","requires attunement","","1 lb.",""
"Amulet of Protection from Turning","TftYP","rare","wondrous item","requires attunement","","1 lb.",""
"Amulet of the Black Skull","ToA","very rare","wondrous item","requires attunement","","1 lb.",""
"Amulet of the Drunkard","EGW","uncommon","wondrous item","","","",""
"Amulet of the Planes","DMG","very rare","wondrous item","requires attunement","","1 lb.",""
"Animated Shield","DMG","very rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Apparatus of Kwalish","DMG","legendary","wondrous item","","","500 lb.",""
"Arcanaloth's Music Box","ToA","unknown (magic)","other","","","","750 gp"
"Arcane Cannon","EGW","very rare","wondrous item","","","",""
"Arcane Propulsion Arm","ERLW","very rare","wondrous item","requires attunement by a creature missing a hand or an arm","1d8, force, - thrown (20/60 ft.)","",""
"Armblade","ERLW","common","generic variant","requires attunement by a warforged","","",""
"Armor of Acid Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Cold Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Fire Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Force Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Gleaming","XGE","common","generic variant","","","",""
"Armor of Invulnerability","DMG","legendary","heavy armor","requires attunement","AC 18","65 lb.",""
"Armor of Lightning Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Necrotic Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Poison Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Psychic Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Radiant Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Thunder Resistance","DMG","rare","generic variant","requires attunement","","",""
"Armor of Vulnerability","DMG","rare","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
"Armor of Vulnerability (Bludgeoning)","DMG","rare","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
