"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Abacus","PHB","none","adventuring gear","","","2 lb.","2 gp"
"Acid (vial)","PHB","none","adventuring gear","","","1 lb.","25 gp"
"Adamantine Ammunition","XGE","unknown","ammunition, generic variant","","","",""
"Adamantine Bar","WDH","none","Trade Good","","","10 lb.","1,000 gp"
"Adamantine Weapon","XGE","unknown","generic variant","","","",""
"Adjustable Stilts","WDH","unknown","other","","","8 lb.",""
"Airship","DMG","none","Vehicle","","Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300","","20,000 gp"
"Alchemist's Doom","SCC","unknown","adventuring gear","","","1 lb.",""
"Alchemist's Fire (flask)","PHB","none","adventuring gear","","","1 lb.","50 gp"
"Alchemist's Supplies","PHB","none","Artisan's Tools","","","8 lb.","50 gp"
"Ale (Gallon)","PHB","none","food and drink","","","","2 sp"
"Ale (Mug)","PHB","none","food and drink","","","","4 cp"
"Alexandrite","DMG","none","treasure","","","","500 gp"
"Alpha Fish Scales","ToB2","none","other","","","",""
"Amber","DMG","none","treasure","","","","100 gp"
"Amethyst","DMG","none","treasure","","","","100 gp"
"Amulet","PHB","none","spellcasting focus","","","1 lb.","5 gp"
"Antimatter Rifle","DMG","none","weapon, range, firearm, futuristic, martial weapon","","6d8, necrotic, - ammunition (120/360 ft.), reload (2 shots), two-handed","10 lb.",""
"Antitoxin (vial)","PHB","none","adventuring gear","","","","50 gp"
"Aquamarine","DMG","none","treasure","","","","500 gp"
"Arcane Focus","PHB","none","spellcasting focus","","","",""
"Arrow","PHB","none","ammunition","","","0.8 oz.","5 cp"
"Arrows (20)","PHB","none","ammunition","","","1 lb.","1 gp"
"Artisan's Tools","PHB","none","Artisan's Tools","","","",""
"Assassin's Blood","DMG","none","adventuring gear, poison (ingested)","","","","150 gp"
"Automatic Pistol","DMG","none","weapon, range, firearm, modern, martial weapon","","2d6, piercing, - ammunition (50/150 ft.), reload (15 shots)","3 lb.",""
"Automatic Rifle","DMG","none","weapon, range, firearm, modern, martial weapon","","2d8, piercing, - ammunition (80/240 ft.), burst fire, reload (30 shots), two-handed","8 lb.",""
"Axe Beak","IDRotF","none","mount","","","","50 gp"
"Azurite","DMG","none","treasure","","","","10 gp"
"Backpack","PHB","none","adventuring gear","","","5 lb.","2 gp"
"Backpack Parachute","WDH","unknown","other","","","",""
"Bagpipes","PHB","none","Instrument","","","6 lb.","30 gp"
"Ball Bearing","PHB","none","adventuring gear","","","0.032 oz.","0.1 cp"
"Ball Bearings (bag of 1,000)","PHB","none","adventuring gear","","","2 lb.","1 gp"
"Banded Agate","DMG","none","treasure","","","","10 gp"
"Barding","PHB","none","tack and harness","","","base weight ×2","base value ×4"
"Barking Box","WDH","unknown","other","","","",""
"Barrel","PHB","none","adventuring gear","","","70 lb.","2 gp"
"Barrier Peaks Trinket","LLK","none","adventuring gear","","","",""
"Basic Poison (vial)","PHB","none","adventuring gear, poison","","","","100 gp"
"Basket","PHB","none","adventuring gear","","","2 lb.","4 sp"
"Battleaxe","PHB","none","weapon, martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","4 lb.","10 gp"
"Bedroll","PHB","none","adventuring gear","","","7 lb.","1 gp"
"Bejeweled ivory drinking horn with gold filigree","DMG","none","treasure","","","","7,500 gp"
"Bell","PHB","none","adventuring gear","","","","1 gp"
"Birdpipes","SCAG","none","Instrument","","","",""
"Bit and bridle","PHB","none","tack and harness","","","1 lb.","2 gp"
"Black Opal","DMG","none","treasure","","","","1,000 gp"
"Black Pearl","DMG","none","treasure","","","","500 gp"
"Black Sap","EGW","none","adventuring gear","","","","300 gp"
"Black Sapphire","DMG","none","treasure","","","","5,000 gp"
"Black velvet mask stitched with silver thread","DMG","none","treasure","","","","25 gp"
"Blanket","PHB","none","adventuring gear","","","3 lb.","5 sp"
"Blasting Powder","EGW","none","adventuring gear","","","",""
"Blight Ichor","EGW","none","adventuring gear","","","","200 gp"
"Block and Tackle","PHB","none","adventuring gear","","","5 lb.","1 gp"
"Blood of the Lycanthrope","IMR","none","poison (injury)","","","",""
"Bloodstone","DMG","none","treasure","","","","50 gp"
"Blowgun","PHB","none","weapon, range, martial weapon","","1, piercing, - ammunition (25/100 ft.), loading","1 lb.","10 gp"
"Blowgun Needle","PHB","none","ammunition","","","0.32 oz.","2 cp"
"Blowgun Needles (50)","PHB","none","ammunition","","","1 lb.","1 gp"
"Blue Quartz","DMG","none","treasure","","","","10 gp"
"Blue Sapphire","DMG","none","treasure","","","","1,000 gp"
"Blue Spinel","DMG","none","treasure","","","","500 gp"
"Bomb","DMG","none","explosive, renaissance","","","1 lb.","150 gp"
"Book","PHB","none","adventuring gear","","","5 lb.","25 gp"
"Bottle stopper cork embossed with gold leaf and set with amethysts","DMG","none","treasure","","","","750 gp"
"Box of turquoise animal figurines","DMG","none","treasure","","","","250 gp"
"Brass mug with jade inlay","DMG","none","treasure","","","","250 gp"
"Breastplate","PHB","none","medium armor","","AC 14 + Dex (max 2)","20 lb.","400 gp"
"Brewer's Supplies","PHB","none","Artisan's Tools","","","9 lb.","20 gp"
"Bronze crown","DMG","none","treasure","","","","250 gp"
"Bucket","PHB","none","adventuring gear","","","2 lb.","5 cp"
"Bullseye Lantern","PHB","none","adventuring gear","","","2 lb.","10 gp"
"Burglar's Pack","PHB","none","adventuring gear","","","44½ lb.","16 gp"
"Burnt Othur Fumes","DMG","none","adventuring gear, poison (inhaled)","","","","500 gp"
"Calligrapher's Supplies","PHB","none","Artisan's Tools","","","5 lb.","10 gp"
"Caltrop","PHB","none","adventuring gear","","","1.6 oz.","5 cp"
"Caltrops (bag of 20)","PHB","none","adventuring gear","","","2 lb.","1 gp"
"Camel","PHB","none","mount","","Speed: 50, Carrying Capacity: 480 lb.","","50 gp"
"Candle","PHB","none","adventuring gear","","","","1 cp"
"Canoe","ToA","none","Vehicle","","Speed: 2 mphCarrying Capacity: 6 passengersCrew 1, AC 11, HP 50","100 lb.","50 gp"
"Canvas (1 sq. yd.)","PHB","none","Trade Good","","","","1 sp"
"Carnelian","DMG","none","treasure","","","","50 gp"
"Carpenter's Tools","PHB","none","Artisan's Tools","","","6 lb.","8 gp"
"Carriage","PHB","none","vehicle (land)","","","600 lb.","100 gp"
"Carrion Crawler Mucus","DMG","none","adventuring gear, poison (contact)","","","","200 gp"
"Cart","PHB","none","vehicle (land)","","","200 lb.","15 gp"
"Cartographer's Tools","PHB","none","Artisan's Tools","","","6 lb.","15 gp"
"Carved bone statuette","DMG","none","treasure","","","","25 gp"
"Carved harp of exotic wood with ivory inlay and zircon gems","DMG","none","treasure","","","","750 gp"
"Carved ivory statuette","DMG","none","treasure","","","","250 gp"
"Catapult Munition","SCC","unknown","adventuring gear","","","",""
"Ceremonial electrum dagger with a black pearl in the pommel","DMG","none","treasure","","","","750 gp"
"Chain (10 feet)","PHB","none","adventuring gear","","","10 lb.","5 gp"
"Chain Mail","PHB","none","heavy armor","","AC 16","55 lb.","75 gp"
"Chain Shirt","PHB","none","medium armor","","AC 13 + Dex (max 2)","20 lb.","50 gp"
"Chalcedony","DMG","none","treasure","","","","50 gp"
"Chalk (1 piece)","PHB","none","adventuring gear","","","","1 cp"
"Chariot","PHB","none","vehicle (land)","","","100 lb.","250 gp"
"Chest","PHB","none","adventuring gear","","","25 lb.","5 gp"
"Chicken","PHB","none","Trade Good","","","","2 cp"
"Chrysoberyl","DMG","none","treasure","","","","100 gp"
"Chrysoprase","DMG","none","treasure","","","","50 gp"
"Chunk of Meat","PHB","none","food and drink","","","","3 sp"
"Cinnamon","PHB","none","Trade Good","","","1 lb.","2 gp"
"Citrine","DMG","none","treasure","","","","50 gp"
"Climber's Kit","PHB","none","adventuring gear","","","12 lb.","25 gp"
"Cloth-of-gold vestments","DMG","none","treasure","","","","25 gp"
"Clothing, cold weather","IDRotF","none","adventuring gear","","","5 lb.","10 gp"
"Cloves","PHB","none","Trade Good","","","1 lb.","3 gp"
"Club","PHB","none","weapon, simple weapon, melee weapon","","1d4, bludgeoning, - light","2 lb.","1 sp"
"Cobbler's Tools","PHB","none","Artisan's Tools","","","5 lb.","5 gp"
"Cold Iron Weapon","ToB","unknown","generic variant","","","",""
"Cold Iron Weapon","ToB2","unknown","generic variant","","","",""
"Common Clothes","PHB","none","adventuring gear","","","3 lb.","5 sp"
"Common Wine (Pitcher)","PHB","none","food and drink","","","","2 sp"
"Component Pouch","PHB","none","adventuring gear","","","2 lb.","25 gp"
"Cook's Utensils","PHB","none","Artisan's Tools","","","8 lb.","1 gp"
"Copper","PHB","none","Trade Good","","","1 lb.","5 sp"
"Copper (cp)","PHB","none","treasure","","","0.32 oz.","1 cp"
"Copper Alms-Coin","GGR","none","treasure","","","","1 cp"
"Copper Zib","GGR","none","treasure","","","","1 cp"
"Copper chalice with silver filigree","DMG","none","treasure","","","","25 gp"
"Coral","DMG","none","treasure","","","","100 gp"
"Costume Clothes","PHB","none","adventuring gear","","","4 lb.","5 gp"
"Cotton Cloth (1 sq. yd.)","PHB","none","Trade Good","","","","5 sp"
"Cow","PHB","none","Trade Good","","","","10 gp"
"Crampons","IDRotF","none","adventuring gear","","","¼ lb.","2 gp"
"Crossbow Bolt","PHB","none","ammunition","","","1.2 oz.","5 cp"
"Crossbow Bolt Case","PHB","none","adventuring gear","","","1 lb.","1 gp"
"Crossbow Bolts (20)","PHB","none","ammunition","","","1½ lb.","1 gp"
"Crowbar","PHB","none","adventuring gear","","","5 lb.","2 gp"
"Crystal","PHB","none","spellcasting focus","","","1 lb.","10 gp"
"Dagger","PHB","none","weapon, simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","2 gp"
"Dart","PHB","none","weapon, range, simple weapon","","1d4, piercing, - finesse, thrown (20/60 ft.)","¼ lb.","5 cp"
"Diamond","DMG","none","treasure","","","","5,000 gp"
"Dice Set","PHB","none","Gaming Set","","","","1 sp"
"Diplomat's Pack","PHB","none","adventuring gear","","","36 lb.","39 gp"
"Disguise Kit","PHB","none","tools","","","3 lb.","25 gp"
"Dogsled","IDRotF","none","vehicle (land)","","","300 lb.","20 gp"
"Donkey","PHB","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","8 gp"
"Double-Bladed Scimitar","ERLW","none","weapon, martial weapon, melee weapon","","2d4, slashing, - special, two-handed","6 lb.","100 gp"
"Draft Horse","PHB","none","mount","","Speed: 40, Carrying Capacity: 540 lb.","","50 gp"
"Dragon","WDH","none","treasure","","","","1 gp"
"Dragon's Blood","ERLW","none","other","","","",""
"Dragonchess Set","PHB","none","Gaming Set","","","½ lb.","1 gp"
"Dreamlily","ERLW","none","other","","","",""
"Drow Poison","DMG","none","adventuring gear, poison (injury)","","","","200 gp"
"Druidic Focus","PHB","none","spellcasting focus","","","",""
"Drum","PHB","none","Instrument","","","3 lb.","6 gp"
"Dulcimer","PHB","none","Instrument","","","10 lb.","25 gp"
"Dungeoneer's Pack","PHB","none","adventuring gear","","","61½ lb.","12 gp"
"Dust of the Mummy","IMR","none","poison (inhaled)","","","",""
"Dynamite (stick)","DMG","none","explosive, modern","","","1 lb.",""
"Electrum (ep)","PHB","none","treasure","","","0.32 oz.","5 sp"
"Electrum 50-Zib Coin","GGR","none","treasure","","","","5 sp"
"Elephant","PHB","none","mount","","Speed: 40, Carrying Capacity: 1320 lb.","","200 gp"
"Elven Trinket","MTF","none","adventuring gear","","","",""
"Emblem","PHB","none","spellcasting focus","","","","5 gp"
"Embroidered glove set with jewel chips","DMG","none","treasure","","","","2,500 gp"
"Embroidered silk and velvet mantle set with numerous moonstones","DMG","none","treasure","","","","2,500 gp"
"Embroidered silk handkerchief","DMG","none","treasure","","","","25 gp"
"Emerald","DMG","none","treasure","","","","1,000 gp"
"Enchanted Three-Dragon Ante Set","LLK","none","Gaming Set","","","",""
"Energy Cell","DMG","none","ammunition, futuristic","","","5 oz.",""
"Entertainer's Pack","PHB","none","adventuring gear","","","38 lb.","40 gp"
"Essence of Ether","DMG","none","adventuring gear, poison (inhaled)","","","","300 gp"
"Exotic Saddle","PHB","none","tack and harness","","","40 lb.","60 gp"
"Explorer's Pack","PHB","none","adventuring gear","","","59 lb.","10 gp"
"Explosive Seed","EGW","none","adventuring gear","","","",""
"Eye Agate","DMG","none","treasure","","","","10 gp"
"Eye patch with a mock eye set in blue sapphire and moonstone","DMG","none","treasure","","","","2,500 gp"
"Feed (per day)","PHB","none","tack and harness","","","10 lb.","5 cp"
"Feywild Trinket","WBtW","none","adventuring gear","","","",""
"Fine Clothes","PHB","none","adventuring gear","","","6 lb.","15 gp"
"Fine Wine (Bottle)","PHB","none","food and drink","","","","10 gp"
"Fine gold chain set with a fire opal","DMG","none","treasure","","","","2,500 gp"
"Fire Opal","DMG","none","treasure","","","","1,000 gp"
"Fishing Tackle","PHB","none","adventuring gear","","","4 lb.","1 gp"
"Flail","PHB","none","weapon, martial weapon, melee weapon","","1d8, bludgeoning","2 lb.","10 gp"
"Flask","PHB","none","adventuring gear","","","1 lb.","2 cp"
"Flensing Claws","VGM","unknown","other","","slashing","",""
"Flensing Claws (Huge)","VGM","unknown","other","","2d8, slashing","",""
"Flensing Claws (Large)","VGM","unknown","other","","1d12, slashing","",""
