Date,Username,User tag,Content,Mentions,link
"2023-04-25,20:37:02","Matix Cubix","#0729","# Inicio sesión 37","",""
"2023-04-25,20:39:18","Matix Cubix","#0729","Suspendida en el aire, de esta ciudad que ahora sabes que mantiene un horror, vez como se aproxima esa niebla por la calles...","",""
"2023-04-25,20:39:23","Matix Cubix","#0729","Es misma niebla","",""
"2023-04-25,20:43:00","Matix Cubix","#0729","Realmente","",""
"2023-04-25,20:43:12","Matix Cubix","#0729","Sientes como ha cambiado el ambiente de la ciudad","",""
"2023-04-25,20:43:19","Matix Cubix","#0729","Ahora se siente mucho más opresivo","",""
"2023-04-25,20:43:37","Matix Cubix","#0729","Es como que algo intentara acercarse a ti de la distancia","",""
"2023-04-25,20:43:57","Matix Cubix","#0729","Como si de un macrofago","",""
"2023-04-25,20:43:59","Matix Cubix","#0729","Se tratase","",""
"2023-04-25,20:44:05","Matix Cubix","#0729","Aunque no sabes que es un macrofago","",""
"2023-04-25,20:44:09","Magdars","#7109","sigo el camino que siguió flint en el sueño","",""
"2023-04-25,20:44:13","Magdars","#7109","bien desde arriba","",""
"2023-04-25,20:44:36","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (5) + 2
**Total**: 7","Magdars#7109",""
"2023-04-25,20:44:56","Matix Cubix","#0729","No sabes muy bien hacia donde dirigirte","",""
"2023-04-25,20:45:00","Matix Cubix","#0729","Pero flint si sabe","",""
"2023-04-25,20:45:06","Matix Cubix","#0729","Aunque","",""
"2023-04-25,20:45:12","Matix Cubix","#0729","no quiere llevarte","",""
"2023-04-25,20:46:05","Magdars","#7109","le digo que tenemos que sacar a esa cosa de aquí","",""
"2023-04-25,20:46:14","Matix Cubix","#0729","Flint esta asustado","",""
"2023-04-25,20:46:30","Matix Cubix","#0729","Dice que es mejor no acercarse","",""
"2023-04-25,20:46:59","Matix Cubix","#0729","o crees que eso quiere comunicar","",""
"2023-04-25,20:46:59","Magdars","#7109","le digo que si no nos va a atacar cuando vengamos con los demás","",""
"2023-04-25,20:47:41","Matix Cubix","#0729","No volvamos","",""
"2023-04-25,20:47:56","Magdars","#7109","tenemos que reparar el contenedor del esferón","",""
"2023-04-25,20:47:58","Magdars","#7109","no tenemos opción","",""
"2023-04-25,20:48:41","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (16) + 5
**Total**: 21","Magdars#7109",""
"2023-04-25,20:48:56","Matix Cubix","#0729","Flint: ...","",""
"2023-04-25,20:49:03","Matix Cubix","#0729","Te da a entender que tienes razón","",""
"2023-04-25,20:49:18","Matix Cubix","#0729","Y procede a mostrarte donde fue que el fue la otra vez","",""
"2023-04-25,20:49:54","Magdars","#7109","voy","",""
"2023-04-25,20:51:59","Matix Cubix","#0729","Vas flotando por los cielos de la ciudad","",""
"2023-04-25,20:52:16","Matix Cubix","#0729","La calles de esta misma ya se encuentran pobladas de esta espesa neblina","",""
"2023-04-25,20:52:40","Matix Cubix","#0729","A veces ves sombras moverse en estas","",""
